CHARGE1STATUTE,CHARGE1DESCRIPTION,OffenseDescription,OffenseDescription2,OffenseType,OffenseTypeSort
10-8-515,SOLICITING UNLAWFUL BUSINESS,Other offense,Other public order offense,Public order offense,6
10-8-515,SOLICITING UNLAWFUL BUSINESS (ATTEMPT),Other offense,Other public order offense,Public order offense,6
10-8-515,SOLICITING UNLAWFUL BUSINESS (SOLICITATION),Other offense,Other public order offense,Public order offense,6
10-8-520,STREET VENDOR,Other offense,Other public order offense,Public order offense,6
10-8-525,VEHICLE SERVICE / TRAFFIC LANE,Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - ALCOHOL/DRUGS ON (98-126-1.4),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - DISORDERLY CONDUCT/BREACH PEACE (98-126-1.9A),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - DISORDERLY CONDUCT/INTOX (98-126-1.9B),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - FOOD/BEVERAGE ON (98-126-1.3),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - GAMBLING ON (98-126-1.10),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - GIVE AWAY TRANSFER CARD (98-126-1.16B),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - GRAFFITI ON (98-126-1.13),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - INDECENT EXPOSURE (98-126-1.7A),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - LITTERING ON (98-126-1.11),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - RULES OF CONDUCT,Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - SELL TRANSFER CARD (98-126-1.16A),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - SELLING ON PROPERTY (98-126-1.1),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - SEX ACT ON (98-126-1.7C),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - SMOKING ON (98-126-1.8),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - SOLICITING/BEGGING ON (98-126-1.2),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - SOUND EMITTING DEVICES ON (98-126-1.5),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - TRESPASS ON/ENTER (98-126-1.14A),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - TRESPASS ON/ENTER (98-126-1.14A) (SOLICITATION),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - TRESPASS ON/REMAIN (98-126-1.14B),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - TRESPASS ON/W/O PAYING (98-126-1.14C),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - TRESPASS ON/W/O PAYING (98-126-1.14C) (ATTEMPT),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - TRESPASS ON/W/O PAYING (98-126-1.14C) (SOLICITATION),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - UNSAFE COND/CROSS BETWEEN CARS (98-126-1.6A),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - UNSAFE COND/CROSS BETWEEN CARS (98-126-1.6A) (SOLICITATION),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - UNSAFE COND/OBSTRUCT ACCESS (98-126-1.6D),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - UNSAFE COND/SLEEP (98-126-1.6B),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - UNSAFE COND/SPIT ON (98-126-1.6E),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - UNSAFE COND/TAMPER W/EQUIP (98-126-1.6C),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - URINATING ON PROPERTY (98-126-1.7B),Other offense,Other public order offense,Public order offense,6
10-8-526,CTA - WEAPONS ON (98-126-1.15),Other offense,Other public order offense,Public order offense,6
11-12-070,OPENING A FIRE HYDRANT,Other offense,Other public order offense,Public order offense,6
11-4-1125,NOISE LEVELS ON PRIVATE OPEN SPACE-TIME RESTRICTIONS,Other offense,Other public order offense,Public order offense,6
11-4-1500,DUMPING GARBAGE ON PUBLIC WAY,Other offense,Other public order offense,Public order offense,6
11-4-2800,MUSIC AND AMPLIFIED SOUND,Other offense,Other public order offense,Public order offense,6
11-4-2900,LIMITATIONS OF NOISE,Other offense,Other public order offense,Public order offense,6
11-4-740,BURNING -  OPEN FIRE/METAL CONTAINER,Other offense,Other public order offense,Public order offense,6
13-12-050,BUILDING PERMIT REQUIRED,Other offense,Other public order offense,Public order offense,6
13-12-120,CLOSURE OF BUILDINGS OR PREMISE,Other offense,Other public order offense,Public order offense,6
13-12-148 (C),HAZARDOUS VACANT BUILDINGS-ENTRY PROHIBITED,Other offense,Other public order offense,Public order offense,6
14A-3-307.3,RESTRICTED ACCESS,Other offense,Other public order offense,Public order offense,6
15 ILCS 335.0/14-A-1,ID CARD - DISPLAY/POSSESS CANCEL/REVKD ID CARD 2ND,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14-A-1,ID CARD - DISPLAY/POSSESS CANCEL/REVKED ID CARD,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14-A-1,USE POSS ID CARD READER/2ND+,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14-A-2,DISP/REP ID CARD NOT ISSUE,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14-A-3,ALLOW UNLAWFUL USE/ID CARD,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14-A-4,LEND ID CARD TO ANOTHER,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-1,ID CARD - DISPLAY/POSSESS ALTERED ID - 2ND,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-1,ID CARD - POSSESS/DISP 2+ FICTITIOUS ID,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-1,ID CARD - POSSESS/DISPLAY ALTERED ID,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-2,POSS/DISP ID CARD TO ANOTHER,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-4,ID CARD - POSS FIC/ALTERED ID CARD/ VIOLATE ACT,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-5,POSS FIC/ALTERED ID CARD/DEFRAUD,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-5,POSS/FIC/ALT ID/DEFRAUD/2ND,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-6,POSS/FIC/ALT ID CARD/ID,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-6,POSS/FIC/ALT ID CARD/ID/2ND,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-7,ISSUE FICTITIOUS ID CARD,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-9,PROVIDE ID/ OBTAIN FIC ID/2ND,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14A-B-9,PROVIDE ID/OBTAIN FIC ID CARD,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14B-B-1,ID CARD - POSSESS FRAUDULENT ID CARD,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14B-B-1,ID CARD - POSSESS FRAUDULENT ID CARD (ATTEMPT),Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14B-B-10,AD TO SELL FRAUDULENT ID CARD,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14B-B-2,POSS/DISPLAY FRAUD ID/ACCOUNT,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14B-B-3,POSS/FRAUD ID CARD/THEFT,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14B-B-4,POSS/FRAUD ID CARD/COMMIT FELONY,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14B-B-5,POSS/FRAUD ID CARD/DEFRAUD,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14B-B-9,DUP/MFG/SELL FRAUD ID CARD,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15 ILCS 335.0/14C-A-1,ID CARD - PRESENT FALSE INFO/IL ID,Unlawful use of or possession of fraudulent ID,Unlawful use of or possession of fraudulent ID,Public order offense,6
15-20-220,SALE/USE/EXPLOSION OF FIREWORKS,Other offense,Other public order offense,Public order offense,6
16-16-110,CONSUMPTION OF ALCOHOLIC LIQUOR PROHIBITED,Other offense,Other public order offense,Public order offense,6
2-112-340,"VIOLATE BOARD OF HEALTH RULE, ORDER, OR REGULATION",Other offense,Other public order offense,Public order offense,6
2-14-132(10),IMPOUNDMENT-UNAUTHORIZED REMOVAL OF VEHICLE,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense,4
2-25-090-A,PROHIB ACT-CONSUMER FRAUD/UNFAIR COMP/DECEP PRAC/DTY TO ENF,Other offense,Other public order offense,Public order offense,6
2-44-140,PEDDLERS  WITHOUT LICENSE - PROHIBITED DISTRICTS,Other offense,Other public order offense,Public order offense,6
2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE,Other offense,Other public order offense,Public order offense,6
2-84-300-A,RESISTING POLICE OFFICER OR AIDING ESCAPE (ATTEMPT),Other offense,Other public order offense,Public order offense,6
2-84-500,UNLAWFUL REPRESENTATION AS POLICE OFFICER,Other offense,Other public order offense,Public order offense,6
20 ILCS 1605.0/15,SELL LOTTERY TICKET TO MINOR,Other offense,Other public order offense,Public order offense,6
20 ILCS 2305.0/8.1,VIO DEPT PUBLIC HEALTH RULE,Other offense,Other public order offense,Public order offense,6
20 ILCS 2615.0/12,UNAUTHD USE PUB SFTY RADIO SYS,Other offense,Other public order offense,Public order offense,6
210 ILCS 165.0/40-A,DESTROY ELEC MONITORING DEVICE,Other offense,Other public order offense,Public order offense,6
210 ILCS 45.0/3-103-2,SUBMIT FALSE APPLICATION,Other offense,Other public order offense,Public order offense,6
210 ILCS 47.0/3-318-A-4,PREVENT PRESV OF EVIDENCE,Other offense,Other public order offense,Public order offense,6
220 ILCS 5.0/9-220-H-15-4,MAKE/ABET FALSE REPORT TO COMM,Other offense,Other public order offense,Public order offense,6
225 ILCS 107.0/160-B-2,USE SUSP/RVK LIC OF ANOTHER,Other offense,Other public order offense,Public order offense,6
225 ILCS 210.0/5010,POSSESS EXPLOSIVE MAT W/O LIC,Other offense,Other public order offense,Public order offense,6
225 ILCS 335.0/5-C,FAIL DISPLAY REGISTRATION,Other offense,Other public order offense,Public order offense,6
225 ILCS 41.0/15-75-A-5,FAILURE TO DISPLAY LICENSE,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense,4
225 ILCS 41.0/15-75-A-6,GIVE FALSE INFORMATION,Other offense,Other public order offense,Public order offense,6
225 ILCS 410.0/1-7,UNLICENSED PRACTICE/1ST,Other offense,Other public order offense,Public order offense,6
225 ILCS 427.0/155-A-3,OBTAIN LICENSE BY FRAUD MISREP,Other offense,Other public order offense,Public order offense,6
225 ILCS 447.0/45-50-A-1,PRACTICE W/O LICENSE/DETECTIVE,Other offense,Other public order offense,Public order offense,6
225 ILCS 51.0/45-A,FAIL TO DISPLAY LICENSE,Other offense,Other public order offense,Public order offense,6
225 ILCS 510.0/14.2,OBSTRUCT DEPT INVESTIGATION,Other offense,Other public order offense,Public order offense,6
225 ILCS 57.0/30-B,VIOLATE MASSAGE LICENSING ACT,Other offense,Other public order offense,Public order offense,6
225 ILCS 65.0/50-50-A-11,MAKE FALSE STATEMENT,Other offense,Other public order offense,Public order offense,6
225 ILCS 650.0/19-A,INTERFERE/ASSAULT OFFICIAL,Other offense,Other public order offense,Public order offense,6
225 ILCS 735.0/5-G,RESISTING A DOC OFFICER,Other offense,Other public order offense,Public order offense,6
225 ILCS 740.0/13,RESISTING/OBSTRUCTING DEPT. NATURAL RESOURCES OFFICER,Other offense,Other public order offense,Public order offense,6
230 ILCS 40.0/35-A,POSS DEVICE FOR REM OF CREDITS,Other offense,Other public order offense,Public order offense,6
235 ILCS 5.0/10-1-A,SELL LIQUOR W/O LICENSE,Other offense,Other public order offense,Public order offense,6
235 ILCS 5.0/6-16-A,MINOR POSSESS LIQUOR IN PUBLIC,Consumption of alcohol by a minor,Other public order offense,Public order offense,6
235 ILCS 5.0/6-16-A-I,LICENSEE GIVE/SELL LIQUOR TO MINOR,Other offense,Other public order offense,Public order offense,6
235 ILCS 5.0/6-16-A-III,GIVE/SELL LIQUOR TO MINOR,Other offense,Other public order offense,Public order offense,6
235 ILCS 5.0/6-16-E,POSS ALCOHOL/SCHOOL PROPERTY,Consumption of alcohol by a minor,Other public order offense,Public order offense,6
235 ILCS 5.0/6-20-C,USE/CARRY FALSE/FORGED ID,Consumption of alcohol by a minor,Other public order offense,Public order offense,6
235 ILCS 5.0/6-20-D,PURCH/POSSESS LIQ/MINOR IN MV,Other offense,Other public order offense,Public order offense,6
235 ILCS 5.0/6-20-D,PURCHASE/POSSESS LIQUOR/MINOR,Other offense,Other public order offense,Public order offense,6
235 ILCS 5.0/6-20-E,CONSUMPTION OF LIQ/MINOR IN MV,Consumption of alcohol by a minor,Other public order offense,Public order offense,6
235 ILCS 5.0/6-20-E,CONSUMPTION OF LIQUOR/MINOR,Consumption of alcohol by a minor,Other public order offense,Public order offense,6
235 ILCS 5.0/8-12,VIO TRANSPORT ALCOHOL PROV,Moving or vehicle violation,Other vehicle-related offense,DUI/vehicle offense,4
3-42-020-E,TAX IMPOSED-UNLWFL CONCEAL OF CIGARETTES/OFFER FOR SALE,Other offense,Other public order offense,Public order offense,6
3-42-020(D),NO CIGARETTE TAX STAMP,Other offense,Other public order offense,Public order offense,6
3-42-025,SALE OF CIGARETTES W/OUT COOK COUNTY STAMP,Other offense,Other public order offense,Public order offense,6
3-42-025,SALE OF CIGARETTES W/OUT COOK COUNTY STAMP (SOLICITATION),Other offense,Other public order offense,Public order offense,6
3-56-020,CITY VEHICLE LICENSE-NOT PURCHASING,Other offense,Other public order offense,Public order offense,6
320 ILCS 20.0/4-E,FAILURE TP REPT ABUSE/NEGLECT,Other offense,Other public order offense,Public order offense,6
325 ILCS 5.0/4,KNOW TRANSMIT FALSE REPORT,Other offense,Other public order offense,Public order offense,6
325 ILCS 5.0/7,FALSE REPORTS/DCFS,Other offense,Other public order offense,Public order offense,6
35 ILCS 120.0/13-B-I,SALES TX EVSN>$100K/CONCL FACT,Other offense,Other public order offense,Public order offense,6
35 ILCS 128.0/1-130-A,POSS/SALE<201CONTRABAND CIGS,Other offense,Other public order offense,Public order offense,6
35 ILCS 128.0/1-130-C,POSS/SALE > 1K CONTRABAND CIGS,Other offense,Other public order offense,Public order offense,6
35 ILCS 130.0/24-A,POSS 100 OR < PACKS CONTRA CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 130.0/24-B,POSS>100<251 PACKS CONTRA CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 130.0/24-C,POSS>250<1001 PAK CONTRA CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 130.0/24-D,POSS>1000 PACKS CONTRA CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 130.0/24-E,LIC DISTB POSS 100 OR < CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 130.0/24-F,LIC DISTB POSS 100+CONTR CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 130.0/26,DISTRIBUTE CIGS W/O LICENSE,Other offense,Other public order offense,Public order offense,6
35 ILCS 130.0/9C,TRANSPORT<40000 CIG/EVADE TAX,Other offense,Other public order offense,Public order offense,6
35 ILCS 130.0/9C,VIO TRANSPORTER REQUIREMENTS,Other offense,Other public order offense,Public order offense,6
35 ILCS 135.0/30,POSSESS CIGARETTE  WITHOUT STAMP,Other offense,Other public order offense,Public order offense,6
35 ILCS 135.0/30,TOBACCO/SALE WITHOUT TAX STAMP,Other offense,Other public order offense,Public order offense,6
35 ILCS 135.0/30-A,POSS>9<101 UNSTAMPED CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 135.0/30-B,POSS>100<251 UNSTAMPED CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 135.0/30-C,POSS>250<1001 UNSTAMPED CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 135.0/30-D,POSS<1000 ORIG CONTRABAND CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 135.0/30-E,DISTB POSS 100 OR<CONTRA CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 135.0/30-F,DISTB POSSESS>100 CONTRA CIG,Other offense,Other public order offense,Public order offense,6
35 ILCS 143.0/10-20,DISTRIBTOR TOBACCO W/O LIC,Other offense,Other public order offense,Public order offense,6
4-108-070,SMOKING IN A FILLING STATION,Other offense,Other public order offense,Public order offense,6
4-120-110,POSSESSION FIREWORKS,Other offense,Other public order offense,Public order offense,6
4-144-190,REPLICA FIREARMS/PELLET GUNS,Other offense,Other public order offense,Public order offense,6
4-156-300,LICENSE REQUIRED/PUBLIC PLACE OF AMUSEMENT,Other offense,Other public order offense,Public order offense,6
4-156-305,NO PUBLIC PLACE OF AMUSEMENT LICENSE,Other offense,Other public order offense,Public order offense,6
4-228-020,LICENSE REQUIRED MOTOR VEHICLE REPAIR SHOP,Other offense,Other public order offense,Public order offense,6
4-244-030,LICENSE REQUIRED PEDDLERS/PEDDLING,Other offense,Other public order offense,Public order offense,6
4-244-100,PEDDLERS / PEDDLING BADGES,Other offense,Other public order offense,Public order offense,6
4-244-130,PEDDLERS / PEDDLING WRIGLEY FIELD,Other offense,Other public order offense,Public order offense,6
4-244-140,PEDDLERS / PEDDLING PROHIBITED DISTRICTS,Other offense,Other public order offense,Public order offense,6
4-244-150,FLOWER PEDDLING/PEDDLER  PROHIBITED,Other offense,Other public order offense,Public order offense,6
4-260-040,SCAVENGER LICENSE REQUIRED,Other offense,Other public order offense,Public order offense,6
4-268-020,STREET PERFORMER PERMIT REQUIRED,Other offense,Other public order offense,Public order offense,6
4-268-050-B,STREET PERFORMER - BLOCK PASSAGE,Other offense,Other public order offense,Public order offense,6
4-268-050-D,STREET PERFORMER - NOISE VIOLATION,Other offense,Other public order offense,Public order offense,6
4-332-140,WEAPONS VIOLATION SALE OF AIR RIFLE/TOY FIREARM,Other offense,Other public order offense,Public order offense,6
4-4-010,BUSINESS LICENSE REQUIRED,Other offense,Other public order offense,Public order offense,6
4-4-010,VIOLATION LICENSE REQUIRED-BUSINESS/CORP,Other offense,Other public order offense,Public order offense,6
4-4-015,CLOSURE ORDER - VIOLATION,Other offense,Other public order offense,Public order offense,6
4-4-295,UNLAWFUL INTERFERENCE W/ DEPT.OF REVENUE ENFORCEMENT,Other offense,Other public order offense,Public order offense,6
4-4-306A,ILLEGAL CONDUCT ON LICENSED PREMISES,Other offense,Other public order offense,Public order offense,6
4-4-333-B,SYNTHETIC MARIJUANA,Possession of cannabis,Possession of cannabis/controlled substance,Drug offense,5
4-60-020,LICENSE REQUIRED -  LIQUOR,Other offense,Other public order offense,Public order offense,6
4-60-020(A),BEER GARDEN HOURS OF OPERATION,Other offense,Other public order offense,Public order offense,6
4-60-140(D),PUBLIC INDECENCY-LICENSED LIQUOR PREMISE,Public indecency,Other sex offense,Person offense,1
4-60-141,COOPERATE W/POLICE RE ILLEGAL ACTIVITY IN LICENSED PREMISE,Other offense,Other public order offense,Public order offense,6
4-64-020,LICENSE REQUIRED/TOBACCO DEALER,Other offense,Other public order offense,Public order offense,6
4-64-100,LICENSE REQUIRED/RETAIL TOBACCO,Other offense,Other public order offense,Public order offense,6
4-64-181,DISTRIBUTION CIGARETTES/TOBACCO FROM SEALED PACK,Other offense,Other public order offense,Public order offense,6
4-64-181,DISTRIBUTION CIGARETTES/TOBACCO FROM SEALED PACK (SOLICITATION),Other offense,Other public order offense,Public order offense,6
4-64-191,CERTAIN TRANSACTIONS PROHIBITED,Other offense,Other public order offense,Public order offense,6
4-64-191,CERTAIN TRANSACTIONS PROHIBITED (SOLICITATION),Other offense,Other public order offense,Public order offense,6
4-64-200,LICENSE-REQUIREMENTS,Other offense,Other public order offense,Public order offense,6
4-64-340,DISTRIBUTION OF TOBACCO PRODUCT SAMPLES - PROHIBITED WHEN,Other offense,Other public order offense,Public order offense,6
4-64-350,CERTAIN TRANSACTIONS - PROHIBITED,Other offense,Other public order offense,Public order offense,6
4-64-350,CERTAIN TRANSACTIONS - PROHIBITED (ATTEMPT),Other offense,Other public order offense,Public order offense,6
4-64-350,CERTAIN TRANSACTIONS - PROHIBITED (SOLICITATION),Other offense,Other public order offense,Public order offense,6
4-64-355,SALE BIDI CIGARETTES / OTHER PRODUCTS - PROHIBITED,Other offense,Other public order offense,Public order offense,6
4-64-710,IDENTIFICATION CARDS - PROHIBITED ACTS,Other offense,Other public order offense,Public order offense,6
4-8-020-A,LICENSING REQUIREMENTS/RETAIL FOOD ESTABLISHMENT,Other offense,Other public order offense,Public order offense,6
4-8-020-C,LICENSING REQUIREMENTS/MOBILE FOOD DISPENSER,Other offense,Other public order offense,Public order offense,6
4-92-020,LICENSE REQUIRED - MASSAGE,Other offense,Other public order offense,Public order offense,6
410 ILCS 54.0/85-A,TAT BODY PIERCE EST PUB NUI,Other offense,Other public order offense,Public order offense,6
410 ILCS 620.0/3.22-B,DISTRIB SYN/MISBRANDED DRUG,Possession/sale of drug paraphernalia,Other drug offense,Drug offense,5
410 ILCS 620.0/3.22-C,FLS AD SYNTHETIC DRUG PRODUCT,Other offense,Other public order offense,Public order offense,6
410 ILCS 620.0/3.23-B,MANUF/DEL/POSS LEGEND DRUG,Other offense,Other public order offense,Public order offense,6
410 ILCS 705.0/10-15-D,PERMIT < 21 CONSUME CANNABIS,Other offense,Other public order offense,Public order offense,6
410 ILCS 82.0/70,SMOKING DISTANCE PROHIBITED 15FT,Other offense,Other public order offense,Public order offense,6
415 ILCS 105.0/4,LITTERING,Other offense,Other public order offense,Public order offense,6
415 ILCS 105.0/4,LITTERING (SOLICITATION),Other offense,Other public order offense,Public order offense,6
415 ILCS 105.0/5,LITTERING FROM MTR VEHICLE,Other offense,Other public order offense,Public order offense,6
415 ILCS 5.0/12-A,CAUSE/ALLOW WATER POLUTION,Other offense,Other public order offense,Public order offense,6
415 ILCS 5.0/21-P-7,OPEN DUMPING/CONSTR DEBRIS,Other offense,Other public order offense,Public order offense,6
425 ILCS 35.0/2,POSSESS/SALE/USE OF FIREWORKS,Other offense,Other public order offense,Public order offense,6
430 ILCS 65.0/14-D-5,FALSE INFO ON FOID APPLICATION,Possession of a firearm without a valid FOID,Other weapons offense,Weapon offense,3
430 ILCS 65.0/2-A-1,FIREARM W/O VALID FOID/ELIG,Possession of a firearm without a valid FOID,Other weapons offense,Weapon offense,3
430 ILCS 65.0/2-A-1,FIREARM W/O VALID FOID/ELIG 2+,Possession of a firearm without a valid FOID,Other weapons offense,Weapon offense,3
430 ILCS 65.0/2-A-1,FIREARM/FOID INVALID/NOT ELIG,Possession of a firearm without a valid FOID,Other weapons offense,Weapon offense,3
430 ILCS 65.0/2-A-1,POSS FIR W/ FOID EXP <6 MO/ELIG,Possession of a firearm without a valid FOID,Other weapons offense,Weapon offense,3
430 ILCS 65.0/2-A-1,POSSESS FIREARM FOID EXPIRED,Possession of a firearm without a valid FOID,Other weapons offense,Weapon offense,3
430 ILCS 65.0/2-A-1,POSSESS FIREARM FOID EXPIRED/NOT ELIG,Possession of a firearm without a valid FOID,Other weapons offense,Weapon offense,3
